Urban area,State,Population,Housing,Land area (square miles)
Deltona, FL,"210,712","86,104",109
Deming, NM,"14,913","6,492",8.2
Demopolis, AL,"6,227","2,986",4.5
Denison, IA,"8,142","3,000",4.5
Denton Southwest, TX,"14,105","5,719",7.1
Denton, MD,"5,009","1,941",3.3
Denton_Lewisville, TX,"429,461","166,497",150.5
Denver_Aurora, CO,"2,686,147","1,125,043",644.5
DeRidder, LA,"12,126","5,563",14.5
Des Moines, IA,"542,486","232,461",224.7
Desert Hot Springs, CA,"45,767","18,838",14.1
Detroit Lakes, MN,"10,234","5,956",9.2
Detroit, MI,"3,776,890","1,647,476",1284.8
Devils Lake, ND,"7,493","3,787",5.1
DeWitt, IA,"5,162","2,250",4
Dexter, MI,"5,285","2,155",2.5
Dexter, MO,"9,635","4,675",7.7
Diamondhead, MS,"9,044","4,380",5.1
Dickinson, ND,"25,674","11,897",12.3
Dickson, TN,"16,543","7,239",16.5
Dillon, MT,"4,429","2,221",2.7
Dillon, SC,"8,484","3,955",6.3
Discovery Bay, CA,"15,939","6,271",4.2
Dixon, CA,"18,876","6,524",4.4
Dixon, IL,"15,987","6,712",7.8
Dodge City, KS,"27,702","9,853",10.9
Dodgeville, WI,"4,898","2,199",3.3
Donaldsonville, LA,"12,461","5,596",15.6
Dos Palos, CA,"7,721","2,340",2.3
Dothan, AL,"72,423","33,948",55.1
Douglas, AZ,"16,582","6,504",5.5
Douglas, GA,"14,258","6,099",16.6
Douglas, MI,"3,259","2,651",4.2
Douglas, WY,"6,498","3,120",3.3
Dover, DE,"123,101","48,756",72.3
Dover_Rochester, NH_ME,"72,391","33,561",52.3
Dowagiac, MI,"5,896","2,689",3.6
Du Quoin, IL,"5,933","2,969",4.1
Dublin, GA,"20,842","9,337",20.4
DuBois, PA,"11,656","5,625",7.2
Dubuque, IA_IL,"70,332","31,475",34.2
Duluth, MN_WI,"119,411","55,048",66.9
Dumas, AR,"4,308","2,143",3.1
Dumas, TX,"14,639","5,632",4.9
Duncan, OK,"20,353","10,118",13.6
Dundee, MI,"5,252","2,314",3.9
Dunkirk_Fredonia, NY,"23,410","10,746",12.8
Dunn, NC,"13,707","6,504",11.1
Durand, MI,"5,056","2,354",3.8
Durango, CO,"19,114","9,232",9.5
Durant, OK,"19,324","8,259",12
Durham, NC,"396,118","173,410",183.4
Durham, NH,"12,117","2,548",4
Duvall, WA,"8,165","2,840",2.5
Dyersburg, TN,"16,790","7,674",13
Eagle Mountain, UT,"10,269","2,550",2
Eagle Pass, TX,"54,083","18,705",21.1
Eagle, CO,"7,419","2,640",3.4
Earlimart, CA,"7,470","1,883",1.3
East Aurora, NY,"8,765","3,997",5.8
East Hampton North_Springs_Northwest Harbor, NY,"21,812","15,022",35.9
East Liverpool, OH_WV_PA,"21,126","10,424",15.5
East Palestine, OH,"4,634","2,085",2.9
East Stroudsburg_Stroudsburg, PA,"47,891","19,080",38.9
East Tawas, MI,"4,844","3,004",5
East Troy, WI,"5,309","2,453",4.1
Eastman, GA,"6,220","2,778",6
Easton, MD,"18,033","8,357",11.1
Eaton Rapids, MI,"5,076","2,314",2.8
Eaton, CO,"5,823","2,174",2.2
Eaton, OH,"8,067","3,860",4.5
Eau Claire, WI,"105,475","46,055",62.5
Ebensburg, PA,"4,880","2,350",2.6
Eden, NC,"16,323","8,197",14.2
Edenton, NC,"4,329","2,361",3.6
Edgerton, WI,"8,360","4,277",6.2
Edinboro, PA,"5,730","2,627",2.4
Edna, TX,"5,910","2,619",3.7
Edwards_Avon, CO,"16,518","11,151",11.6
Effingham, IL,"13,990","6,588",13.6
El Campo, TX,"13,286","5,171",7.8
El Centro, CA,"74,376","24,115",19.4
El Dorado, AR,"18,698","8,867",20.3
El Dorado, KS,"12,774","5,819",7.4
El Paso de Robles (Paso Robles)_Atascadero, CA,"67,804","27,041",30
El Paso, TX_NM,"854,584","315,198",255.9
El Reno, OK,"14,346","6,252",8.7
Elberton, GA,"5,700","2,770",5
Elburn, IL,"6,395","2,334",3.6
Eldersburg, MD,"30,486","11,346",18.4
Eldon, MO,"4,513","2,168",3.3
Elgin, TX,"10,779","3,823",4.8
Elizabeth City, NC,"22,834","10,393",16.5
Elizabethtown_Radcliff, KY,"76,441","32,896",55.8
Elk City, OK,"11,124","5,740",9
Elkhart, IN_MI,"148,199","59,094",94.9
Elkhorn, WI,"11,876","5,034",6.9
Elkins, WV,"11,109","5,395",7.1
Elko, NV,"21,695","9,136",12.6
Elkton, VA,"5,032","2,933",4.8
Ellensburg, WA,"21,518","10,092",8.8
Ellenville, NY,"7,090","2,648",3.3
Ellijay, GA,"6,738","3,738",13.2
Ellwood City, PA,"13,155","6,342",7.4
Elmira, NY,"62,468","29,533",31.7
Elsa, TX,"12,984","4,221",6.3
Elwood, IN,"9,199","4,448",4.6
Ely, NV,"4,455","2,284",3.1
Emmett, ID,"10,173","4,191",5.7
Emporia, KS,"24,082","11,224",11.2
Emporia, VA,"6,871","3,067",6.5
Enid, OK,"50,194","22,482",29.5
Ennis, TX,"19,763","7,195",12.4
Enterprise, AL,"31,258","13,725",23.7
Ephraim, UT,"5,049","1,680",1.7
Ephrata, WA,"8,050","3,210",4.3
Erie, PA,"187,820","85,013",73.3
Erwin, TN,"8,678","4,077",5.9
Escalon, CA,"7,480","2,723",2
Escanaba, MI,"21,159","10,444",18.1
Española, NM,"23,931","10,382",20.1
Estacada, OR,"5,267","1,992",3
Estes Park, CO,"7,907","6,112",12.2
Estherville, IA,"5,774","2,675",3.5
Etowah, TN,"4,513","2,158",4.5
Eudora, KS,"6,400","2,419",2.6
Eufaula, AL_GA,"9,184","4,482",7
Eugene, OR,"270,179","116,321",73.5
Eunice, LA,"10,510","4,863",7.1
Eureka, CA,"45,951","20,603",18.8
Eureka, IL,"5,401","2,216",2.5
Eureka, MO,"14,027","4,870",9.3
Evanston, WY,"11,416","5,057",7.7
Evansville, IN,"206,855","94,932",112.8
Evansville, WI,"6,321","2,620",2.8
Evergreen, CO,"10,218","4,424",9.5
Excelsior Springs, MO,"9,840","4,435",5.7
Exeter, CA,"10,973","3,909",2.9
Exeter, NH,"16,165","7,629",11.7
Fabens, TX,"7,094","2,476",1.7
Fairbanks, AK,"71,396","30,180",74.3
Fairbury, NE,"4,011","2,022",2.4
Fairfield Glade, TN,"8,212","5,118",9.6
Fairfield, CA,"150,122","50,402",40.8
Fairfield, IA,"9,211","4,743",5.4
Fairfield, IL,"4,766","2,540",3.3
Fairhope_Daphne, AL,"76,807","33,719",59.1
Fairmont, MN,"8,387","4,180",3.6
Fairmont, WV,"31,694","15,332",20.2
Fajardo, PR,"68,587","40,103",34.4
Falcon, CO,"21,348","6,627",8.5
Falfurrias, TX,"4,497","2,027",2.2
Fallbrook, CA,"41,305","14,606",26
Fallon, NV,"16,753","7,153",14
Falls City, NE,"4,133","2,148",3.4
Fargo, ND_MN,"216,214","98,798",77.7
Faribault, MN,"24,013","8,902",10.2
Farmington, MO,"32,804","13,603",18.1
Farmington, NM,"51,763","20,575",32.6
Farmville, NC,"4,380","2,204",2.9
Farmville, VA,"7,916","3,005",6.6
Fayetteville, NC,"325,008","137,211",195.9
Fayetteville, TN,"10,120","4,817",12.4
Fayetteville_Springdale_Rogers, AR_MO,"373,687","150,509",198.3
Fenton, MI,"38,156","16,869",29.7
Fergus Falls, MN,"13,116","6,302",7.6
Fernandina Beach_Yulee, FL,"50,805","26,223",50.6
Fernley, NV,"19,233","7,298",10.6
Ferriday, LA,"5,169","2,213",4.8
Fillmore, CA,"16,397","4,726",2.6
Findlay, OH,"48,144","22,745",25.6
Fire Island, NY,998,"3,990",2.9
Firebaugh, CA,"8,117","2,246",2.5
Firestone_Frederick, CO,"35,447","12,207",15.2
Fitzgerald, GA,"11,281","5,354",8.5
Flagstaff, AZ,"79,842","32,500",29.3
Flemington_Raritan, NJ,"24,401","9,571",18.4
Flint, MI,"298,964","139,045",205.5
Flora, IL,"4,793","2,261",3.2
Florence East, AZ,"14,049","2,796",2.7
Florence West, AZ,"11,636","5,032",5.9
Florence, AL,"78,925","38,442",54.6
Florence, OR,"11,477","6,674",8
Florence, SC,"89,436","40,455",68
Floresville, TX,"6,313","2,449",3.9
Foley_Gulf Shores, AL,"40,920","26,434",49
Fond du Lac, WI,"54,731","24,532",24.7
Fontana_on_Geneva Lake, WI,"10,466","7,382",10.3
Forest City_Spindale, NC,"20,760","9,937",26.9
Forest Lake, MN,"21,882","9,111",14
Forney, TX,"41,112","13,983",19.7
Forrest City, AR,"8,557","4,074",7
Forsyth, GA,"4,852","2,158",5.2
Forsyth, MO,"7,423","3,724",6.6
Fort Atkinson, WI,"13,852","6,067",6.9
Fort Bragg, CA,"10,668","5,124",9.8
Fort Collins, CO,"326,332","138,125",118
Fort Dodge, IA,"24,699","11,246",13.6
Fort Irwin, CA,"8,096","2,462",3.6
Fort Leonard Wood_St. Robert_Waynesville, MO,"31,672","9,536",26.2
Fort Lupton, CO,"7,856","2,749",2.3
Fort Madison, IA_IL,"10,278","5,081",6
Fort Meade, FL,"4,874","2,381",2.3
Fort Morgan, CO,"13,473","5,011",5.5
Fort Payne, AL,"8,380","3,335",8.6
Fort Polk South, LA,"9,983","3,622",9.5
Fort Rucker_Daleville, AL,"7,157","3,126",7.8
Fort Scott, KS,"7,439","3,603",5.1
Fort Smith, AR_OK,"125,811","55,567",74
Fort Stockton, TX,"8,551","3,658",6
Fort Valley, GA,"9,704","4,195",5.8
Fort Wayne, IN,"335,934","144,476",163.6
Fortuna, CA,"12,784","5,408",5.8
Fostoria, OH,"14,295","6,652",8.3
Four Corners, FL,"92,396","50,820",84.5
Frankenmuth, MI,"5,045","2,475",2.9
Frankfort, IN,"16,775","6,650",7.5
Frankfort, KY,"37,844","18,234",22.3
Frankfort, MI,"2,603","2,627",4.2
Franklin (Venango County), PA,"8,500","4,324",5.6
Franklin, KY,"11,597","4,976",8.3
Franklin, LA,"9,491","4,516",6.2
Franklin, NC,"9,358","5,011",14
Franklin, NH,"6,659","3,080",4.2
Franklin, VA,"8,749","4,228",6.4
Fraser, CO,"3,178","5,385",4.5
Frederick, MD,"176,456","68,467",80.3
Fredericksburg, TX,"11,641","6,225",7.8
Fredericksburg, VA,"167,679","64,150",89.6
Fredericktown, MO,"4,986","2,187",3.3
Freeland, MI,"7,412","2,282",8.5
Freeland, PA,"5,754","2,753",1.6
Freeland, WA,"7,907","5,367",12.1
Freeport, IL,"24,135","11,988",10.6
Fremont, MI,"5,165","2,426",3.8
Fremont, NE,"28,292","11,998",13.8
Fremont, OH,"22,175","10,492",13.4
Fresno, CA,"717,589","247,152",159.1
Friday Harbor, WA,"3,542","2,139",4.4
Frisco, CO,"3,463","3,654",2.2
Front Royal, VA,"16,193","6,641",10.7
Frostproof, FL,"8,092","3,668",7.5
Fulton, KY_TN,"4,256","2,224",3.2
Fulton, MO,"12,479","4,682",8.7
Fulton, NY,"12,788","5,989",5.7
Gadsden, AL,"57,975","27,550",61.2
Gaffney, SC,"19,042","8,718",15.4
Gainesville, FL,"213,748","95,632",87.7
Gainesville, GA,"265,218","100,455",251.7
Gainesville, TX,"16,544","6,734",9.6
Galax, VA,"6,767","3,271",6.6
Galesburg, IL,"33,847","15,669",21.9
Galion, OH,"11,364","5,541",6.4
Galliano_Larose_Cut Off, LA,"20,056","8,765",18.7
Gallup, NM,"24,448","9,158",13.7
Galt, CA,"26,618","8,744",7.1
Galveston_Texas City, TX,"191,863","92,177",109
Garapan, MP,"36,921","14,519",17.2
Garden City, KS,"30,976","11,478",12.7
Gardnerville, NV,"21,338","9,599",12.7
Gastonia, NC,"176,897","76,009",124.6
Gatesville, TX,"15,565","4,000",10.2
Gaylord_Bagley, MI,"8,476","4,616",10.3
Geneseo, IL,"6,435","3,093",3.8
Geneseo, NY,"8,025","2,387",2.4
Geneva, NY,"29,572","14,251",16.8
Geneva, OH,"7,355","3,480",4.8
Genoa, IL,"5,484","2,058",2.2
Georgetown, DE,"9,921","2,777",4.9
Georgetown, KY,"38,912","15,654",15.1
Georgetown, SC,"11,364","5,404",9.2
Germantown, OH,"5,577","2,311",2.8
Gettysburg_Cumberland, PA,"14,733","6,074",8.3
Gillespie, IL,"5,037","2,430",2.8
Gillette, WY,"34,422","14,532",19.7
Gilmer, TX,"5,084","2,208",4.1
Gilroy_Morgan Hill, CA,"114,833","36,785",42.5
Glasgow, KY,"14,849","6,973",11.8
Glencoe, MN,"5,738","2,478",3.2
Glendive, MT,"6,675","3,217",5.4
Glens Falls, NY,"71,191","35,410",51.6
Glenwood Springs, CO,"10,889","4,602",5.5
Glenwood, IA,"5,009","2,078",2.4
Glenwood, MN,"4,202","2,464",4.2
Globe, AZ,"12,620","6,333",8.1
Gloversville, NY,"26,286","13,325",15.5
Gold Canyon, AZ,"9,590","6,814",7.9
Goldsboro, NC,"54,456","25,498",53.2
Gonzales, CA,"8,682","2,105",1.5
Gonzales, TX,"6,953","2,902",4.4
Goodland, KS,"4,439","2,214",2.8
Goodyear South, AZ,"16,042","6,587",9.6
Governors Club, NC,"4,967","2,427",3.6
Grafton, WV,"4,824","2,380",3.5
Grafton_Port Washington_Cedarburg, WI,"44,086","19,802",23.1
Graham, TX,"8,585","3,825",4.7
Granbury, TX,"29,706","14,236",21.9
Grand Forks, ND_MN,"68,160","31,492",26.5
Grand Island, NE,"55,099","21,892",29.6
Grand Junction, CO,"135,973","58,584",75.6
Grand Lake, CO,"1,801","3,048",5.4
Grand Rapids, MI,"605,666","245,031",274.4
Grand Rapids, MN,"10,348","4,826",10.5
Grandview, WA,"11,187","3,353",4.1
Granite Falls, WA,"6,349","2,326",3.1
Grants Pass, OR,"55,724","24,348",30.4
Grants, NM,"9,972","4,544",6.1
Grantsville, UT,"9,598","2,958",4.4
Grass Valley, CA,"36,720","17,313",29.7
Grayson, KY,"5,418","2,397",5.2
Great Bend, KS,"14,766","7,127",6.2
Great Falls, MT,"67,097","30,776",30.3
Greeley, CO,"137,222","50,941",37.3
Green Bay, WI,"224,156","95,658",113.7
Green River, WY,"11,873","5,057",5.6
Green Valley, AZ,"37,315","23,803",20.2
Greencastle, IN,"10,190","4,035",4.8
Greendale_Lawrenceburg_Hidden Valley, IN_OH,"20,087","8,512",18.8
Greeneville, TN,"22,919","10,199",22
Greenfield, CA,"18,858","4,170",2.1
Greenfield, MA,"22,294","11,083",14.3
Greenfield, OH,"4,771","2,242",1.7
Greensboro, NC,"338,928","148,331",169.3
Greensburg, IN,"12,529","5,556",8.7
Greenville, AL,"5,823","2,890",5.6
Greenville, IL,"6,765","2,262",3
Greenville, KY,"5,516","2,578",5.5
Greenville, MI,"10,265","4,403",6.6
Greenville, MS,"29,267","13,687",16.8
Greenville, NC,"120,150","58,789",66.4
Greenville, OH,"12,983","6,653",6.7
Greenville, PA,"10,553","4,866",7.9
Greenville, SC,"387,271","171,025",262.2
Greenville, TX,"27,054","11,244",17.3
Greenwood, AR,"9,077","3,663",6.6
Greenwood, MS,"19,475","8,661",10.7
Greenwood, SC,"41,998","18,897",35.5
Grenada, MS,"10,276","5,021",7.1
Gridley, CA,"8,653","3,056",4
Griffin, GA,"38,311","15,772",27.9
Grinnell, IA,"9,486","4,011",4.3
Grissom AFB, IN,"6,856","1,598",4.3
Grove City, PA,"9,830","3,623",6.1
Grove, OK,"7,934","4,342",10.2
Guadalupe, CA,"8,046","2,118",1.1
Guánica, PR,"6,972","4,607",2.9
Guayama, PR,"52,290","27,128",21.8
Gulfport_Biloxi, MS,"236,344","106,428",168.6
Gun Barrel City, TX,"18,309","10,004",18.4
Gunnison, CO,"7,228","3,285",3.7
Gustine, CA,"6,128","2,147",1.2
Guthrie, OK,"9,312","4,145",6.8
Guymon, OK,"12,516","4,629",4.8
Gypsum, CO,"8,841","2,825",5.8
Hagerstown, MD_WV_PA_VA,"197,557","81,924",120.8
Hailey, ID,"12,035","4,877",5.3
Half Moon Bay, CA,"21,688","8,713",8.3
Hamburg_Vernon_Highland Lakes, NJ,"28,250","13,840",21.8
Hamilton, MT,"6,870","3,490",4
Hammond, LA,"72,526","31,199",76.4
Hammonton, NJ,"12,086","4,870",8.3
Hampshire, IL,"5,699","2,104",2.7
Hampstead, NC,"23,340","16,255",31.4
Hampstead_Manchester, MD,"14,542","5,697",7.9
Hanford, CA,"66,638","22,595",18.2
Hannibal, MO,"17,672","8,097",10.6
Hanover, PA,"56,712","24,313",25.7
Harlan, IA,"4,713","2,284",2.6
Harlan, KY,"6,147","3,073",4.8
Harlingen, TX,"118,838","46,951",54.2
Harriman_Kingston_Rockwood, TN,"22,348","10,813",30.5
Harrington, DE,"4,943","2,152",3.4
Harrisburg, IL,"8,283","4,154",5.3
Harrisburg, PA,"490,859","212,463",250.2
Harrisburg, SD,"6,663","2,369",2.4
Harrison, AR,"13,950","6,799",12.4
Harrison, OH_IN,"15,007","6,162",7.5
Harrisonburg, VA,"73,377","27,080",31.1
Harrisonville, MO,"9,423","4,034",6.8
Harrodsburg, KY,"9,791","4,489",6.5
Hartford City, IN,"6,135","3,054",3.5
Hartford, CT,"977,158","425,056",535.9
Hartford, WI,"23,757","10,450",14.9
Hartselle, AL,"15,596","6,619",13.9
Hartsville, SC,"13,946","6,687",12.7
Hartwell, GA,"5,963","2,608",6.8
Harvard, IL,"9,376","3,278",4.4
Hastings, MI,"8,041","3,558",4.7
Hastings, MN,"21,635","9,202",7.4
Hastings, NE,"24,807","11,175",12.8
Hattiesburg, MS,"80,821","35,939",63.6
Havelock, NC,"17,101","6,741",15.7
Havre, MT,"9,826","4,702",4.1
Hayes, MI,"3,796","2,405",3.2
Hays, KS,"21,880","9,934",9.7
Hazard, KY,"7,808","3,664",7.7
Hazlehurst, GA,"4,917","2,179",4.9
Hazleton, PA,"50,860","21,110",19
Heartland, TX,"9,841","3,065",2.8
Heber Springs, AR,"6,743","3,841",7.8
Heber, UT,"25,059","8,634",13.1
Heber_Overgaard, AZ,"3,573","4,832",9.2
Helena, MT,"52,380","24,037",31.7
Helena_West Helena, AR,"8,599","4,394",6.1
Hemet, CA,"173,194","61,575",37.1
Hempstead, TX,"4,890","2,095",3
Henderson, KY,"28,430","13,402",15.3
Henderson, NC,"19,894","8,880",16.3
Henderson, TN,"5,906","2,120",5.4
Henderson, TX,"14,924","4,608",10.5
Henryetta, OK,"6,207","2,931",5.2
Hereford, TX,"15,520","5,727",6.7
Hermiston, OR,"28,938","9,674",15.5
Hibbing, MN,"12,035","6,319",6.9
Hickory, NC,"201,511","89,412",221.3
Hidden Meadows, CA,"4,884","2,417",3.8
Higgins Lake, MI,"2,145","3,490",4.5
Higginsville, MO,"4,551","2,081",2.1
High Point, NC,"167,830","71,478",100.8
Highland, IL,"10,267","4,661",5.3
Hillsboro, IL,"6,880","2,390",3.9
Hillsboro, OH,"6,613","3,243",4.8
Hillsboro, TX,"8,068","3,301",5.9
Hillsborough, NC,"15,800","6,802",11
Hillsdale, MI,"10,642","4,606",6.7
Hilo, HI,"41,410","16,878",23.4
Hilton, NY,"8,057","3,191",4
Hinesville, GA,"53,107","21,243",37.2
Hobbs, NM,"44,157","16,787",26
Holden Beach, NC,"8,687","9,276",19.6
Holdenville, OK,"4,264","2,029",2.5
Holdrege, NE,"5,454","2,590",2.9
Holland, MI,"107,034","42,839",64.8
Hollister, CA,"49,611","15,163",13.2
Holly Springs, MS,"5,559","2,143",5.3
Holly, MI,"8,934","3,792",5.1
Holts Summit, MO,"5,184","2,263",4.7
Holtville, CA,"6,230","2,009",1.6
Hondo, TX,"6,006","2,403",3
Honesdale, PA,"5,404","2,960",4
Honolulu, HI,"853,252","315,727",145
Hood River, OR_WA,"16,171","7,297",9.3
Hoopeston, IL,"4,812","2,356",2.3
Hope, AR,"8,855","4,095",7.9
Hopkinsville, KY,"31,696","14,731",22.8
Hornell, NY,"10,566","5,285",5.8
Hornsby Bend, TX,"11,337","3,772",3.8
Horse Cave, KY,"4,262","2,167",3.7
Horseshoe Bay, TX,"5,583","4,331",8.5
Hot Springs Village, AR,"12,755","7,877",20.1
Hot Springs, AR,"59,133","31,921",50.3
Houghton Lake, MI,"8,521","8,859",10.9
Houghton_Hancock, MI,"15,358","5,955",7.9
Houlton, ME,"4,281","2,071",2.5
Houma, LA,"145,482","61,142",94.9
Houston, TX,"5,853,575","2,232,438",1752.7
Hudson, NY,"10,610","5,886",6.4
Hudson, WI_MN,"23,743","10,292",13.7
Hugo, OK,"4,992","2,508",4
Humboldt, IA,"5,339","2,518",3.7
Humboldt, TN,"7,160","3,661",5.3
Huntingburg, IN,"6,117","2,541",3.7
Huntingdon, PA,"11,311","3,537",4.1
Huntington, IN,"17,555","8,013",9.8
Huntington, WV_KY_OH,"200,157","94,530",128.9
Huntsville Southeast, AL,"20,165","7,538",10.7
Huntsville, AL,"329,066","145,066",214.8
Huntsville, TX,"43,415","15,643",17
Huron, CA,"6,129","1,588",1.3
Huron, SD,"14,294","6,215",7.9
Hurricane, UT,"19,370","7,645",10.3
Hutchinson, KS,"42,475","19,892",24.5
Hutchinson, MN,"14,670","6,556",8.1
Idabel, OK,"5,523","2,508",4.2
Idaho Falls, ID,"105,132","38,357",41.3
Ilion_Herkimer, NY,"22,267","10,680",8.1
Immokalee, FL,"23,485","6,928",10.6
Incline Village, NV_CA,"19,441","19,801",21.1
Independence, IA,"6,057","2,833",4.8
Independence, KS,"8,477","4,350",4.6
Indian Head, MD,"5,556","2,310",3.7
Indianapolis, IN,"1,699,881","717,732",722.5
Indiana_White, PA,"27,693","12,704",13.8
Indianola, IA,"15,344","6,226",8.7
Indianola, MS,"9,341","3,810",5.1
Indiantown, FL,"5,496","1,618",1.5
Indio_Palm Desert_Palm Springs, CA,"361,075","192,446",151.8
Inman, SC,"13,269","5,440",13.7
International Falls, MN,"6,575","3,656",7.4
Iola, KS,"5,845","2,907",4.2
Ione, CA,"4,673","2,004",1.7
Ionia, MI,"15,168","3,592",4.9
Iowa City, IA,"126,810","55,571",50.8
Iowa Falls, IA,"5,058","2,421",4.1
Iowa Park, TX,"6,454","2,785",3.1
Ipswich, MA,"9,380","4,733",6.1
Iron Mountain_Kingsford, MI_WI,"18,336","9,164",13.2
Ironwood, MI_WI,"7,181","4,375",6
Irvine, KY,"4,029","2,021",2.8
Isanti, MN,"6,621","2,454",3.2
Ishpeming, MI,"11,298","5,357",5.8
Ithaca, NY,"59,102","25,031",24.6
Jackson, CA,"7,781","3,918",4.8
Jackson, GA,"5,697","2,234",4.7
Jackson, MI,"84,307","36,028",52
Jackson, MS,"347,693","155,654",237.2
Jackson, OH,"6,749","3,307",4
Jackson, TN,"72,809","32,121",47.7
Jackson, WI,"7,962","3,551",3.6
Jackson, WY,"10,760","4,930",2.9
Jacksonville, FL,"1,247,374","530,649",573.3
Jacksonville, IL,"21,003","9,559",12.2
Jacksonville, NC,"111,224","40,962",75.7
Jacksonville, TX,"13,881","5,546",10.5
Jamestown, ND,"15,207","7,464",9.4
Jamestown, NY,"44,424","26,313",26.4
Janesville, WI,"72,285","31,455",36.7
Jasper, AL,"13,274","5,781",16.7
Jasper, GA,"6,384","2,657",8.2
Jasper, IN,"16,749","7,203",11.5
Jasper, TX,"7,000","3,373",8.5
Jayuya, PR,"9,987","4,338",8.5
Jeanerette, LA,"5,325","2,484",2.8
Jefferson City, MO,"50,775","23,952",34.5
Jefferson, GA,"11,842","4,160",10.7
Jefferson, WI,"7,566","3,329",4.6
Jennings, LA,"9,378","4,081",7.7
Jerome, ID,"12,405","4,309",5.5
Jersey Shore, PA,"10,009","4,469",7.3
Jerseyville, IL,"8,641","3,948",4.8
Jesup, GA,"12,772","4,971",11.9
Jewett City, CT,"4,706","2,210",2.6
Johnson City, TN,"128,519","60,019",106
Johnson Lane, NV,"5,268","2,242",4.1
Johnstown, CO,"19,773","6,744",5.7
Johnstown, OH,"5,449","2,317",2.8
Johnstown, PA,"61,521","32,490",34.7
Jonesboro, AR,"73,781","31,507",46.5
Jonesboro, LA,"5,245","2,354",5.7
Joplin, MO,"86,679","38,706",60.5
Jordan, MN,"6,648","2,356",3
Joshua Tree, CA,"4,370","2,525",3.8
Juana Díaz, PR,"65,023","27,385",31.2
Junction City, KS,"40,723","15,632",24
Junction City, OR,"7,312","2,987",2.8
Juneau, AK,"24,756","10,960",14.8
Kahului_Wailuku, HI,"57,905","18,348",13.5
Kailua (Hawaii County), HI,"33,024","15,746",21.3
Kailua (Honolulu County)_Kaneohe, HI,"118,092","40,063",29.3
Kalamazoo, MI,"204,562","90,906",109.5
Kalispell, MT,"36,131","15,698",18.7
Kankakee, IL,"66,530","27,634",31.7
Kansas City, MO_KS,"1,674,218","729,472",714.1
Kapaa, HI,"18,212","7,118",11.3
Kaplan, LA,"4,656","2,343",2.5
Kasson, MN,"7,649","2,996",3.4
Kaufman, TX,"6,127","2,290",3.1
Kearney, MO,"10,174","3,941",5.6
Kearney, NE,"34,526","14,644",18.2
Keene, NH,"22,687","10,393",14.5
Kekaha, HI,"5,724","2,092",2
Kenai, AK,"8,642","3,805",13
Kendallville, IN,"10,587","4,564",5.7
Kennett, MO,"10,560","4,832",6.4
Kennewick_Richland_Pasco, WA,"255,401","93,872",112.2
Kenosha, WI,"125,865","53,111",56.2
Kenton, OH,"8,033","3,835",4.3
Keokuk, IA_IL,"12,351","5,929",9
Kerman, CA,"16,002","4,509",2.8
Kermit, TX,"6,381","2,643",2.8
Kerrville, TX,"31,844","14,956",21.8
Ketchikan, AK,"11,975","5,458",23.7
Ketchum, ID,"6,346","6,698",8
Kewanee, IL,"12,542","5,776",6
Key Largo, FL,"21,687","16,322",15
Key West, FL,"32,146","16,779",6.8
Keyser, WV_MD,"6,328","3,035",3.4
Keystone Heights, FL,"8,218","3,760",10.2
Kihei, HI,"26,878","17,408",8.1
Kilgore, TX,"16,719","6,776",21.8
Kill Devil Hills_Nags Head, NC,"23,851","26,763",33.6
Killeen, TX,"257,222","98,214",100.4
Kimberling City, MO,"4,467","3,329",9.4
King City, CA,"13,760","3,603",3
Kingman, AZ,"46,953","20,797",22.5
Kings Mountain, NC,"12,619","5,513",12.1
Kingsburg, CA,"12,602","4,506",3.9
Kingsland, TX,"8,093","4,878",10.3
Kingsland_St. Marys, GA,"38,567","15,584",30.4
Kingsport, TN_VA,"98,411","47,217",94.1
Kingston, NY,"50,254","23,955",31.1
Kingstree, SC,"5,250","2,590",5.1
Kingsville, TX,"24,945","11,291",12.7
Kinross, MI,"5,100",951,3.2
Kinston, NC,"21,050","10,990",17.9
Kirksville, MO,"16,846","7,492",8.6
Kirtland, NM,"5,737","2,044",5.9
Kiryas Joel, NY,"71,582","19,817",28.8
Kissimmee_St. Cloud, FL,"418,404","153,652",161.6
Kittanning_Ford City, PA,"14,605","7,455",10.3
Klamath Falls_Altamont, OR,"43,208","19,117",23.7
Knoxville, IA,"7,561","3,486",3.8
Knoxville, TN,"597,257","263,977",431.9
Kodiak_Mill Bay, AK,"9,530","3,798",5
Kokomo, IN,"62,576","30,777",32.5
Kosciusko, MS,"6,716","2,870",5.6
Krum, TX,"5,876","2,062",3.3
Kuna, ID,"23,565","7,813",6.3
Kutztown, PA,"8,672","2,793",3.7
La Crosse, WI_MN,"98,872","44,018",42.2
La Follette, TN,"20,114","9,387",23.8
La Grande, OR,"14,954","6,651",6.2
La Grange, KY,"24,556","8,138",20.2
La Grange, TX,"5,020","2,296",3.8
La Junta, CO,"7,792","3,571",3.9
La Plata, MD,"10,536","3,920",6.3
LaBelle, FL,"13,053","4,759",8.4
Laconia, NH,"27,267","17,637",28.4
LaFayette, GA,"6,772","3,100",6.4
Lafayette, IN,"157,100","66,557",68.7
Lafayette, LA,"227,316","102,033",161.2
Lafayette, TN,"6,174","2,758",5.3
Lafayette_Erie_Louisville, CO,"96,485","37,356",35
